"","date","dji"
"200",1897-03-10,41.79
"201",1897-03-11,41.94
"202",1897-03-12,42.05
"203",1897-03-15,42.08
"204",1897-03-16,41.93
"205",1897-03-17,41.5
"206",1897-03-18,41.6
"207",1897-03-19,41.12
"208",1897-03-22,41.39
"209",1897-03-23,40.86
"210",1897-03-24,40.6
"211",1897-03-25,40.58
"212",1897-03-26,40.07
"213",1897-03-29,39.13
"214",1897-03-30,39.86
"215",1897-03-31,39.47
"216",1897-04-01,39.77
"217",1897-04-02,39.81
"218",1897-04-05,39.74
"219",1897-04-06,39.57
"220",1897-04-07,39.73
"221",1897-04-08,40.37
"222",1897-04-09,40.21
"223",1897-04-12,39.95
"224",1897-04-13,40.43
"225",1897-04-14,39.76
"226",1897-04-15,39.41
"227",1897-04-19,38.49
"228",1897-04-20,38.69
"229",1897-04-21,38.91
"230",1897-04-22,38.57
"231",1897-04-23,38.49
"232",1897-04-26,39.22
"233",1897-04-28,39.02
"234",1897-04-29,39.01
"235",1897-04-30,38.96
"236",1897-05-03,38.78
"237",1897-05-04,39.48
"238",1897-05-05,39.18
"239",1897-05-06,39.54
"240",1897-05-07,39.59
"241",1897-05-10,39.95
"242",1897-05-11,39.9
"243",1897-05-12,39.69
"244",1897-05-13,39.27
"245",1897-05-14,38.94
"246",1897-05-17,38.67
"247",1897-05-18,39.2
"248",1897-05-19,38.8
"249",1897-05-20,38.67
"250",1897-05-21,38.83
"251",1897-05-24,39.33
"252",1897-05-25,39.2
"253",1897-05-26,39.55
"254",1897-05-27,39.21
"255",1897-05-28,39.64
"256",1897-06-01,40.01
"257",1897-06-02,40.22
"258",1897-06-03,40.28
"259",1897-06-04,40.52
"260",1897-06-07,41.32
"261",1897-06-08,41.74
"262",1897-06-09,42.21
"263",1897-06-10,42.38
"264",1897-06-11,42.54
"265",1897-06-14,42.96
"266",1897-06-15,42.8
"267",1897-06-16,42.39
"268",1897-06-17,42.69
"269",1897-06-18,43.07
"270",1897-06-21,42.62
"271",1897-06-22,42.8
"272",1897-06-23,43.18
"273",1897-06-24,43.39
