"","permno","date","bidlo","askhi","openprc","prc","vol"
"30",14593,2015-02-13,125.650001525879,127.279998779297,127.279998779297,127.080001831055,54288005
"31",14593,2015-02-17,126.919998168945,128.880004882812,127.48999786377,127.830001831055,63152405
"32",14593,2015-02-18,127.449996948242,128.779998779297,127.625,128.714996337891,44891737
"33",14593,2015-02-19,128.330001831055,129.029998779297,128.479995727539,128.449996948242,37362381
"34",14593,2015-02-20,128.050003051758,129.5,128.619995117188,129.494995117188,48948430
"35",14593,2015-02-23,129.660003662109,133,130.020004272461,133,71571810
"36",14593,2015-02-24,131.169998168945,133.600006103516,132.940002441406,132.169998168945,69228196
"37",14593,2015-02-25,128.149993896484,131.600006103516,131.559997558594,128.789993286133,74714800
"38",14593,2015-02-26,126.610000610352,130.869995117188,128.785003662109,130.414993286133,91287632
"39",14593,2015-02-27,128.240005493164,130.570007324219,130,128.460006713867,62014948
"40",14593,2015-03-02,128.300003051758,130.279998779297,129.25,129.089996337891,48096663
"41",14593,2015-03-03,128.089996337891,129.520004272461,128.960006713867,129.360000610352,37825021
"42",14593,2015-03-04,128.320007324219,129.559997558594,129.100006103516,128.539993286133,31697550
"43",14593,2015-03-05,125.76000213623,128.75,128.580001831055,126.410003662109,56517146
"44",14593,2015-03-06,126.26000213623,129.369995117188,128.399993896484,126.599998474121,72842060
"45",14593,2015-03-09,125.059997558594,129.570007324219,127.959999084473,127.139999389648,88529407
"46",14593,2015-03-10,123.800003051758,127.220001220703,126.410003662109,124.51000213623,68853750
"47",14593,2015-03-11,122.110000610352,124.769996643066,124.75,122.23999786377,68938997
"48",14593,2015-03-12,121.629997253418,124.900001525879,122.309997558594,124.449996948242,48362896
"49",14593,2015-03-13,122.580001831055,125.39510345459,124.400001525879,123.589996337891,51827298
"50",14593,2015-03-16,122.870002746582,124.949996948242,123.879997253418,124.949996948242,35874320
"51",14593,2015-03-17,125.650001525879,127.319999694824,125.900001525879,127.040000915527,51023104
"52",14593,2015-03-18,126.370002746582,129.160003662109,127,128.470001220703,65270997
"53",14593,2015-03-19,127.400001525879,129.245101928711,128.75,127.495002746582,45809514
"54",14593,2015-03-20,125.160003662109,128.399993896484,128.25,125.900001525879,68695480
"55",14593,2015-03-23,126.519996643066,127.849998474121,127.120002746582,127.209999084473,37711290
"56",14593,2015-03-24,126.559997558594,128.039993286133,127.230003356934,126.690002441406,32867970
"57",14593,2015-03-25,123.379997253418,126.819999694824,126.540000915527,123.379997253418,51655209
"58",14593,2015-03-26,122.599998474121,124.879997253418,122.76000213623,124.23999786377,47572896
"59",14593,2015-03-27,122.910003662109,124.699996948242,124.569999694824,123.25,39547645
"60",14593,2015-03-30,124,126.400001525879,124.050003051758,126.370002746582,47099686
"61",14593,2015-03-31,124.355003356934,126.48999786377,126.089996337891,124.430000305176,42304683
"62",14593,2015-04-01,123.099998474121,125.120002746582,124.819999694824,124.25,40616873
"63",14593,2015-04-02,124.190002441406,125.559997558594,125.029998779297,125.319999694824,32220148
"64",14593,2015-04-06,124.330001831055,127.51000213623,124.470001220703,127.349998474121,37194209
"65",14593,2015-04-07,125.980003356934,128.121795654297,127.639999389648,126.01000213623,35013481
"66",14593,2015-04-08,124.970001220703,126.400001525879,125.849998474121,125.599998474121,37329257
"67",14593,2015-04-09,124.660003662109,126.580001831055,125.849998474121,126.559997558594,32483983
"68",14593,2015-04-10,125.26000213623,127.209999084473,125.949996948242,127.099998474121,40195446
"69",14593,2015-04-13,126.610000610352,128.570007324219,128.369995117188,126.849998474121,36365135
"70",14593,2015-04-14,125.910003662109,127.290000915527,127,126.300003051758,25524657
"71",14593,2015-04-15,126.01000213623,127.129997253418,126.410003662109,126.779998779297,29009435
"72",14593,2015-04-16,126.110000610352,127.099998474121,126.279998779297,126.169998168945,28369008
"73",14593,2015-04-17,124.459999084473,126.139999389648,125.550003051758,124.75,51957049
"74",14593,2015-04-20,125.169998168945,128.119995117188,125.569999694824,127.599998474121,47055011
"75",14593,2015-04-21,126.669998168945,128.199996948242,128.100006103516,126.910003662109,32435091
"76",14593,2015-04-22,126.319999694824,128.869995117188,126.98999786377,128.619995117188,37654528
"77",14593,2015-04-23,128.139999389648,130.419998168945,128.300003051758,129.669998168945,45771118
"78",14593,2015-04-24,129.229995727539,130.630004882812,130.490005493164,130.279998779297,44534923
"79",14593,2015-04-27,131.149993896484,133.130004882812,132.309997558594,132.649993896484,96975392
"80",14593,2015-04-28,129.570007324219,134.539993286133,134.455001831055,130.559997558594,118924582
"81",14593,2015-04-29,128.300003051758,131.589996337891,130.160003662109,128.639999389648,63386083
"82",14593,2015-04-30,124.580001831055,127.879997253418,127.5,125.150001525879,83195423
"83",14593,2015-05-01,125.300003051758,130.130004882812,126.099998474121,128.949996948242,58513376
"84",14593,2015-05-04,128.259994506836,130.570007324219,129.5,128.699996948242,50988293
"85",14593,2015-05-05,125.779998779297,128.449798583984,128.149993896484,125.800003051758,49271429
"86",14593,2015-05-06,123.360000610352,126.75,126.559997558594,125.01000213623,72141024
"87",14593,2015-05-07,124.019996643066,126.080001831055,124.769996643066,125.26000213623,43940904
"88",14593,2015-05-08,126.110000610352,127.620002746582,126.680000305176,127.620002746582,56050401
"89",14593,2015-05-11,125.625,127.559997558594,127.389999389648,126.319999694824,42035790
"90",14593,2015-05-12,124.819999694824,126.879997253418,125.599998474121,125.86499786377,48181949
"91",14593,2015-05-13,125.870002746582,127.190002441406,126.150001525879,126.01000213623,34694252
"92",14593,2015-05-14,127.160003662109,128.949996948242,127.410003662109,128.949996948242,45203456
"93",14593,2015-05-15,128.210006713867,129.490005493164,129.070007324219,128.770004272461,38208196
"94",14593,2015-05-18,128.360000610352,130.720001220703,128.380004882812,130.190002441406,50883068
"95",14593,2015-05-19,129.639999389648,130.880004882812,130.690002441406,130.070007324219,44633259
"96",14593,2015-05-20,129.339996337891,130.979995727539,130,130.059997558594,36454952
"97",14593,2015-05-21,129.830001831055,131.630004882812,130.070007324219,131.389999389648,39730388
"98",14593,2015-05-22,131.399993896484,132.970001220703,131.600006103516,132.539993286133,45596494
"99",14593,2015-05-26,129.119995117188,132.910003662109,132.600006103516,129.619995117188,70697573
"100",14593,2015-05-27,130.050003051758,132.259994506836,130.339996337891,132.044998168945,46053334
"101",14593,2015-05-28,131.100006103516,131.949996948242,131.860000610352,131.779998779297,30733326
"102",14593,2015-05-29,129.899993896484,131.449996948242,131.229995727539,130.279998779297,51248429
"103",14593,2015-06-01,130.050003051758,131.389999389648,131.199996948242,130.535003662109,32112797
"104",14593,2015-06-02,129.320007324219,130.654998779297,129.860000610352,129.960006713867,33671645
"105",14593,2015-06-03,129.899993896484,130.940002441406,130.660003662109,130.119995117188,30983585
"106",14593,2015-06-04,128.910003662109,130.580001831055,129.580001831055,129.360000610352,38450212
"107",14593,2015-06-05,128.360000610352,129.690002441406,129.5,128.649993896484,35626819
"108",14593,2015-06-08,126.830001831055,129.210006713867,128.899993896484,127.800003051758,52679402
"109",14593,2015-06-09,125.620002746582,128.080001831055,126.699996948242,127.419998168945,56077338
"110",14593,2015-06-10,127.849998474121,129.339996337891,127.919998168945,128.880004882812,39087346
"111",14593,2015-06-11,128.475006103516,130.179992675781,129.179992675781,128.589996337891,35390707
"112",14593,2015-06-12,127.110000610352,128.330001831055,128.184997558594,127.169998168945,36907522
"113",14593,2015-06-15,125.709999084473,127.23999786377,126.099998474121,126.919998168945,44016904
"114",14593,2015-06-16,126.370002746582,127.849998474121,127.029998779297,127.599998474121,31494146
"115",14593,2015-06-17,126.73999786377,127.879997253418,127.720001220703,127.300003051758,32942811
"116",14593,2015-06-18,127.220001220703,128.309997558594,127.230003356934,127.879997253418,35407300
"117",14593,2015-06-19,126.400001525879,127.819999694824,127.709999084473,126.599998474121,54718924
"118",14593,2015-06-22,127.080001831055,128.059997558594,127.48999786377,127.610000610352,34039368
"119",14593,2015-06-23,126.879203796387,127.610000610352,127.480003356934,127.029998779297,30268882
"120",14593,2015-06-24,127.120002746582,129.800003051758,127.209999084473,128.110000610352,55285208
"121",14593,2015-06-25,127.5,129.199996948242,128.860000610352,127.5,32140770
"122",14593,2015-06-26,126.51000213623,127.98999786377,127.669998168945,126.75,44066856
"123",14593,2015-06-29,124.480003356934,126.470001220703,125.459999084473,124.529998779297,49161461
"124",14593,2015-06-30,124.860000610352,126.120002746582,125.569999694824,125.425003051758,44372693
"125",14593,2015-07-01,125.98999786377,126.940002441406,126.900001525879,126.599998474121,30262824
"126",14593,2015-07-02,125.769996643066,126.690002441406,126.430000305176,126.440002441406,27210967
"127",14593,2015-07-06,124.849998474121,126.230003356934,124.940002441406,126,28176070
"128",14593,2015-07-07,123.769996643066,126.150001525879,125.889999389648,125.690002441406,46954694
"129",14593,2015-07-08,122.540000915527,124.639999389648,124.480003356934,122.569999694824,60761646
"130",14593,2015-07-09,119.220001220703,124.059997558594,123.849998474121,120.069999694824,78595134
"131",14593,2015-07-10,121.209999084473,123.849998474121,121.940002441406,123.279998779297,61354445
"132",14593,2015-07-13,124.319999694824,125.754997253418,125.029998779297,125.660003662109,41441038
